組別 A,組別 B,平均得分差 (meandiff),調整後 p 值 (p-adj),下界 (lower),上界 (upper),顯著拒絕 (reject),統計學結論
G1: 完全清白組 (None),G4: 單獨大麻組 (Mj Only),0.0649,0.9989,-0.2645,0.3942,False,無顯著差異
G2: 單獨吸菸組 (Cig Only),G6: 菸大麻共用組 (Cig + Mj),-0.0181,1.0,-0.6372,0.601,False,無顯著差異
G3: 單獨飲酒組 (Alc Only),G7: 酒大麻共用組 (Alc + Mj),0.0949,0.0049,0.0176,0.1721,True,顯著差異 (具大麻加乘效應)
G5: 菸酒共用組 (Cig + Alc),G8: 三者全面涉入組 (All Three),0.2859,0.0,0.1923,0.3795,True,顯著差異 (具大麻加乘效應)
