組別 A,組別 B,平均得分差 (meandiff),調整後 p 值 (p-adj),下界 (lower),上界 (upper),顯著拒絕 (reject),統計學結論
G1: 完全清白組 (None),G4: 單獨大麻組 (Mj Only),0.2545,0.5614,-0.1548,0.6639,False,無顯著差異
G2: 單獨吸菸組 (Cig Only),G6: 菸大麻共用組 (Cig + Mj),0.2172,0.9897,-0.5523,0.9867,False,無顯著差異
G3: 單獨飲酒組 (Alc Only),G7: 酒大麻共用組 (Alc + Mj),0.324,0.0,0.228,0.42,True,顯著差異 (具大麻加乘效應)
G5: 菸酒共用組 (Cig + Alc),G8: 三者全面涉入組 (All Three),0.6604,0.0,0.544,0.7767,True,顯著差異 (具大麻加乘效應)
